player_name,platform,game_id,kills,score,ptype,trnchange,trnrating,matches
Ninja,pc,672257934,7,387,p9,0.7160000000000036,4964.9,1
Ninja,pc,672168659,18,765,p9,1.884999999999991,4964.2,2
Ninja,pc,672083939,11,905,p9,1.984999999999991,4962.3,3
Ninja,pc,672008888,12,775,p9,2.090000000000009,4960.3,4
Ninja,pc,671927581,8,825,p9,2.2,4958.2,5
Ninja,pc,671843015,19,765,p9,2.3150000000000093,4956,6
Ninja,pc,671784739,8,555,p9,0.9439999999999964,4953.7,7
Ninja,pc,671762951,2,109,p9,-3,4952.8,8
Ninja,pc,671747207,10,220,p9,-2,4955.8,9
Ninja,pc,671721462,2,153,p9,-3,4957.8,10
BlooTea,pc,652533229,3,219,p2,0.7820000000000072,4961.7,1
BlooTea,pc,652454279,3,405,p2,1.002500000000009,4960.9,2
BlooTea,pc,652368746,5,505,p2,1.4560000000000128,4959.9,3
BlooTea,pc,652273050,6,330,p2,0.85,4958.4,4
BlooTea,pc,652180650,1,330,p2,0.4289999999999964,4957.5,5
BlooTea,pc,652086386,6,226,p2,0.8760000000000037,4957.1,6
BlooTea,pc,652077281,0,255,p2,-3,4956.2,7
BlooTea,pc,652001209,2,605,p2,1.7,4959.2,8
BlooTea,pc,651972721,0,21,p2,-3,4957.5,9
BlooTea,pc,651893767,4,405,p2,1.4314999999999873,4960.5,10
Fnatic_Ettnix,pc,667772109,11,725,p10,2.0500000000000003,4961,1
Fnatic_Ettnix,pc,667692023,1,433,p10,1.05,4959,2
Fnatic_Ettnix,pc,667633584,3,805,p10,1.7520000000000073,4958,3
Fnatic_Ettnix,pc,667605866,0,63,p10,-3,4956.2,4
Fnatic_Ettnix,pc,667526662,11,645,p10,2.15,4959.2,5
Fnatic_Ettnix,pc,667436248,15,721,p10,-2,4957,6
Fnatic_Ettnix,pc,667405029,2,238,p10,-3,4956.8,7
Fnatic_Ettnix,pc,667392866,0,40,p10,-3,4959.8,8
Fnatic_Ettnix,pc,667306533,5,776,p10,1.5520000000000074,4962.8,9
Fnatic_Ettnix,pc,667259714,4,193,p10,-2,4961.2,10
TwitchUwatakashi,pc,672476933,0,395,p10,0,4962.6,1
TwitchUwatakashi,pc,671955078,1,97,p10,-3,4962.6,2
TwitchUwatakashi,pc,670506763,6,405,p2,1.1514999999999873,4968.3,3
TwitchUwatakashi,pc,670495260,1,92,p2,-3,4967.1,4
TwitchUwatakashi,pc,670478597,5,387,p2,1.085,4970.1,5
TwitchUwatakashi,pc,669307839,0,184,p10,-3,4965.6,6
TwitchUwatakashi,pc,669249495,11,605,p10,1.6550000000000182,4968.6,7
TwitchUwatakashi,pc,669159851,3,765,p10,1.3800000000000001,4966.9,8
TwitchUwatakashi,pc,669103671,0,25,p10,-3,4965.5,9
TwitchUwatakashi,pc,669100736,10,765,p10,1.659999999999991,4968.5,10
Sevennoss,pc,667412152,0,44,p2,-3,4965.2,1
Sevennoss,pc,667346941,5,229,p2,0.6479999999999927,4968.2,2
Sevennoss,pc,667335390,0,24,p2,-3,4967.6,3
Sevennoss,pc,667323789,1,107,p2,-3,4970.6,4
Sevennoss,pc,667299921,0,40,p2,-3,4973.6,5
Sevennoss,pc,667223822,4,405,p2,0.8505000000000065,4976.6,6
Sevennoss,pc,667132768,14,605,p9,92.935,3234.2,7
Sevennoss,pc,667128611,4,97,p9,14.045249999999998,3141.3,8
Sevennoss,pc,667073719,2,296,p2,0.245,4975.7,9
Sevennoss,pc,666989752,14,605,p2,1.2900000000000091,4975.5,10
COOLER eXzacT,pc,672811102,8,605,p2,0.3079999999999927,4992.6,1
COOLER eXzacT,pc,672753504,7,405,p2,0.28,4992.3,2
COOLER eXzacT,pc,672235009,6,605,p2,0.3320000000000073,4992,3
COOLER eXzacT,pc,672149739,11,605,p2,0.43499999999999095,4991.7,4
COOLER eXzacT,pc,651961724,2,192,p2,-3,4991.3,5
COOLER eXzacT,pc,651854672,6,605,p2,0.23599999999998547,4994.3,6
COOLER eXzacT,pc,651775104,8,605,p2,0.24400000000001457,4994.1,7
COOLER eXzacT,pc,651755404,0,75,p2,-3,4993.9,8
COOLER eXzacT,pc,651679985,7,605,p2,0.12799999999999273,4996.9,9
COOLER eXzacT,pc,651605223,8,605,p2,0.13200000000000728,4996.8,10
Youtube.Uniq,pc,672546474,1,322,p9,-3,4947.6,1
Youtube.Uniq,pc,672441047,12,434,p9,1.0079999999999927,4950.6,2
Youtube.Uniq,pc,672382821,18,1311,p9,-2,4949.6,3
Youtube.Uniq,pc,672285005,2,294,p9,-3,4949,4
Youtube.Uniq,pc,672229416,0,384,p9,0,4952,5
Youtube.Uniq,pc,672065622,16,785,p9,2.5250000000000004,4952,6
Youtube.Uniq,pc,672035544,4,238,p9,-2,4949.5,7
Youtube.Uniq,pc,671968442,16,865,p9,2.5550000000000184,4951.5,8
Youtube.Uniq,pc,671916827,4,189,p9,-2,4948.9,9
Youtube.Uniq,pc,671816942,3,251,p9,-2,4950.9,10
